Title,Text,Date
Tỷ phú đầu tư: 'Fed đã thắng', Vietstock - Tỷ phú đầu tư: 'Fed đã thắng'Nhà đầu tư lâu năm Paul Tudor Jones tin rằng Fed đã hoàn thành chu kỳ tăng lãi suất. Ông khẳng định Fed hoàn toàn có thể tuyên bố chiến thắng trong cuộc chiến...,16/05/2023
Loạt ngân hàng đã thông qua kế hoạch chi trả cổ tức. Thị trường 15/5,"Theo Dong HaiInvesting.com – Thị trường Việt Nam khởi động tuần mới với 3 tin tức đáng chú ý: Trong những ngày đầu tháng 5, một loạt ngân hàng đã thông qua kế hoạch chi trả cổ tức. Cần giải ngân...",15/05/2023
Khả năng Cục Dự trữ Liên bang Mỹ tăng lãi suất lần thứ 11," Vietstock - Khả năng Cục Dự trữ Liên bang Mỹ tăng lãi suất lần thứ 11Phát biểu tại một hội nghị ở thành phố Frankfurt (Đức), bà Bowman nêu rõ nếu lạm phát vẫn cao và thị trường lao động vẫn eo hẹp...",13/05/2023
Vàng thế giới giảm khi đồng USD tăng," Vietstock - Vàng thế giới giảm khi đồng USD tăngGiá vàng giảm vào ngày thứ Năm (11/5), khi đồng USD tăng, trong khi nhà đầu tư đánh giá tác động của dữ liệu kinh tế yếu kém đối với triển vọng lãi...",12/05/2023
Tỷ giá USD hôm nay 11/5: Quay đầu giảm mạnh," Đồng USD giảm nhẹ sau báo cáo do Bộ Lao động Mỹ công bố ngày 10/5. Trong tháng 4, chỉ số CPI Mỹ tăng 0,4% so với tháng trước. Đồng USD giảm nhẹ vào phiên giao dịch vừa qua, khi dữ liệu mới công bố...",11/05/2023
Giá vàng hôm nay 11/5: Nhấp nhổm sau dữ liệu lạm phát giảm," Cập nhật giá vàng mới nhất hôm nay 11/5/2023; giá vàng SJC trong nước mới nhất, thông tin thị trường vàng… Đêm 10/5/2023, giá vàng tăng vọt lên mức 2053,9 USD/ouce sau khi Mỹ công bố dữ liệu lạm phát...",11/05/2023
Bóng ma giảm phát đe dọa kinh tế Trung Quốc," Vietstock - Bóng ma giảm phát đe dọa kinh tế Trung QuốcChỉ số giá tiêu dùng (CPI) của Trung Quốc tăng 0.1% so với cùng kỳ, mức thấp nhất kể từ đầu năm 2021. Nếu so với tháng trước, giá cả đã giảm...",11/05/2023
"Lạm phát Trung Quốc thấp nhất trong 2 năm, bóng ma giảm phát đang đe dọa nền kinh tế thứ hai thế giới?"," Chỉ số giá tiêu dùng (CPI) tháng 4 của Trung Quốc chỉ tăng 0,1% so với cùng kỳ năm 2022, mức tăng thấp nhất trong 2 năm trở lại đây. 
Nếu như vào cùng kỳ năm ngoái, chỉ số giá tiêu dùng (thước đo lạm...",11/05/2023
"Mất hơn 200 điểm, Dow Jones giảm 4 phiên liên tiếp"," Vietstock - Mất hơn 200 điểm, Dow Jones giảm 4 phiên liên tiếpChỉ số Dow Jones và S&P 500 giảm điểm vào ngày thứ Năm (11/5), khi cổ phiếu Disney chịu áp lực và những lo ngại xung quanh vấn đề các...",12/05/2023
12/05: Đọc gì trước giờ giao dịch chứng khoán?,  Vietstock - 12/05: Đọc gì trước giờ giao dịch chứng khoán? Cùng điểm lại những tin tức tài chính kinh tế trong nước và quốc tế đáng chú ý diễn ra trong 24h qua trước giờ giao dịch hôm nay.* Lãi suất...,12/05/2023
"Lạm phát Mỹ tiếp tục hạ nhiệt trong tháng 4, Phố Wall phấn khởi"," Vietstock - Lạm phát Mỹ tiếp tục hạ nhiệt trong tháng 4, Phố Wall phấn khởi Một thước đo lạm phát được nhiều người theo dõi tăng chậm lại trong tháng 4/2023, qua đó mang lại hy vọng áp lực giá cả sẽ...",10/05/2023
"Lạm phát Mỹ hạ nhiệt, trader hạ xác suất Fed tiếp tục tăng lãi suất"," Thước đo lạm phát ưa thích của Fed đã tăng chậm lại trong tháng 4/2023. Chỉ số giá tiêu dùng (CPI) - thước đo lạm phát ưa thích của Fed đã tăng chậm lại trong tháng 4/2023, nhưng vẫn ở mức cao so với...",11/05/2023
Vàng thế giới giảm nhẹ sau dữ liệu lạm phát của Mỹ," Vietstock - Vàng thế giới giảm nhẹ sau dữ liệu lạm phát của MỹGiá vàng giảm nhẹ vào ngày thứ Tư (10/5), khi một số nhà đầu tư chốt lời sau báo cáo lạm phát của Mỹ.Kết thúc phiên giao dịch ngày thứ...",11/05/2023
"Dầu giảm hơn 1%, đứt mạch 3 phiên tăng liên tiếp"," Vietstock - Dầu giảm hơn 1%, đứt mạch 3 phiên tăng liên tiếpGiá dầu giảm hơn 1 USD/thùng vào ngày thứ Tư (10/5), chấm dứt chuỗi 3 phiên tăng liên tiếp.Kết thúc phiên giao dịch ngày thứ Tư, hợp đồng...",11/05/2023
Nasdaq Composite tăng 1% sau báo cáo lạm phát của Mỹ," Vietstock - Nasdaq Composite tăng 1% sau báo cáo lạm phát của MỹChỉ số Nasdaq Composite tăng điểm vào ngày thứ Tư (10/5), do nhà đầu tư tìm đến các cổ phiếu công nghệ sau báo cáo lạm phát thấp hơn dự...",11/05/2023
Tỷ giá USD hôm nay 10/5: Giảm nhẹ khi các nhà đầu tư ngóng đợi thông tin mới," Đồng USD hôm giảm nhẹ khi dữ liệu việc làm tốt hơn dự kiến, các nhà đầu tư đang theo dõi chặt chẽ dữ liệu lạm phát của Hoa Kỳ sẽ được công bố vào hôm nay 10/5. Việc công bố dữ liệu lạm phát của Mỹ...",10/05/2023
Vàng thế giới tăng trước bất ổn kinh tế," Vietstock - Vàng thế giới tăng trước bất ổn kinh tếGiá vàng tăng vào ngày thứ Ba (09/5) khi nhà đầu tư tìm kiếm kênh trú ẩn trước những bất ổn kinh tế, đồng thời chờ đợi dữ liệu lạm phát Mỹ để tìm...",10/05/2023
Dầu tăng nhẹ sau phiên biến động," Vietstock - Dầu tăng nhẹ sau phiên biến độngGiá dầu tăng nhẹ vào ngày thứ Ba (09/5), đảo chiều từ mức giảm hơn 2% hồi đầu phiên, khi thị trường cân nhắc kế hoạch bổ sung dự trữ dầu khẩn cấp của...",10/05/2023
Phố Wall giảm nhẹ chờ báo cáo lạm phát và cuộc họp về trần nợ của Mỹ," Vietstock - Phố Wall giảm nhẹ chờ báo cáo lạm phát và cuộc họp về trần nợ của MỹChứng khoán Mỹ giảm điểm vào ngày thứ Ba (09/5), khi nhà đầu tư sẵn sàng cho báo cáo lạm phát quan trọng vào cuối tuần...",10/05/2023
